Energy(eV) / Data point number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
6.19921,-0.000218753,-0.00175487,0.000160043,-0.000309314,0.00114591,0.00107468,0.00459149,0.000228713,-0.00478958,-0.00225942,-8.881e-05,-0.00160198,-0.000798071,-0.000316036,0.001741,-0.00172905,0.00233326,-0.00213633,-0.00231397,-0.00178616,-0.000276667,0.000520595,0.00375033,0.000114956,-0.00130585,-0.000837223,0.00204599,-0.00132112,-0.00259833,-0.00308179,-0.00358783,-0.00186944,0.00107799,-0.00113421,-0.00221017,-0.00245845,-0.000233499,0.000604523,-0.00319227,0.00375372,0.000604928,0.00262104,-0.00118615,0.00111967,-0.000742073,-0.000162608,0.00150906,0.00249413,5.03751e-05,-0.000223268,-0.00223022,-6.63988e-05,-0.00271723,-0.00294628,-0.00191037,0.00228476,-0.00141469,0.00201945,0.00127737,-0.0019671,-0.000685746,-0.00258534,-0.000943931,-0.00171581,-0.000844964,0.00203501,0.000557874,0.00237208,0.00252253,0.00141571,0.000157088,0.00161748,-0.00128594,0.00169276,0.00477883,-0.00107336,0.000370058,0.00227524,0.00302158,0.00303064,0.000797392,-0.00217242,-0.00397794,-0.00297976,-0.00318332,0.00173614,0.000902126,0.00205493,-0.000624559,0.00200903,0.0024696,-0.00120449,0.000659047,0.000699731,-0.000808203,0.000443066,-0.00308319,0.00420146,-0.000455575,-0.003593
6.16517,-0.00094284,-0.00320182,-0.00327288,-0.00204257,-8.23563e-05,0.000716917,0.000319945,-0.00152422,0.00146602,0.000792602,0.00182914,-0.000212174,0.000349969,-0.00170552,0.000780824,-0.000260516,0.0023366,0.00233259,-0.000480963,0.001909,-0.00113928,-0.00012676,-0.00219157,-0.00223061,0.00141313,0.00113875,0.00180651,-0.000302677,0.000627914,0.000430059,-0.00230357,0.000913532,0.00153806,0.000517527,-0.00165631,0.00109667,-0.00410753,-0.00147731,-5.88893e-05,-0.000785325,0.000879918,-0.00113884,-0.000784543,0.00191349,0.00105745,0.000723447,-0.000818515,0.000942775,-0.000378393,3.47936e-06,0.00164405,0.000315282,0.000798563,0.00196556,0.00149758,-0.000293017,-0.00181113,-0.00212908,0.00390207,-0.00225574,-0.00180525,0.00128957,-0.00129658,-0.00185908,-0.0034606,-0.00305797,0.00155925,0.00136306,-0.000401604,-0.00159854,0.00243398,0.00312757,0.000225573,0.00128112,-0.00538286,-0.00203213,-0.0027463,-0.000784563,0.000622952,0.00200412,-0.000498359,-0.00187538,0.00315613,-0.000652144,-0.000313101,0.00110954,0.000878748,-0.000636711,-0.000632827,-0.000828926,0.000817892,-0.00186932,0.00343953,0.00313779,0.00522457,0.00117156,-0.000144673,-0.000987287,0.000517841,0.000954652
6.13113,-0.0011024,0.000146543,-0.00246816,-0.00134555,0.000610472,-0.0042353,0.00126314,0.000580208,-0.000384952,-0.00266331,-0.00341469,0.000866829,0.00147949,-0.000773381,-0.00246637,-0.00158755,0.00120819,0.000175465,0.00169325,-0.00216521,0.00145954,-0.00597303,-0.000979648,-0.00217129,0.00168656,0.00284724,0.00187415,-0.00153658,0.00264831,0.000529203,-0.000852006,0.00347703,-0.000649027,-0.00148223,-0.00120098,0.00325463,-0.00383542,0.000843168,0.000646563,0.000750351,-0.00456326,0.00485214,-0.000173675,0.00147008,-0.00160809,-0.00207015,0.00288702,-0.00086512,-0.00353541,0.000907741,-0.000960406,0.00169237,-0.00270046,0.0011723,-0.000275112,-0.0036926,0.00351043,0.00173083,0.0029269,0.00234753,0.000186178,0.00268435,0.00342025,-0.000417357,-0.00366663,-0.000424559,-0.00224479,-4.6893e-05,-0.00185588,0.000348262,-0.00244827,-0.000797462,0.00278223,0.00117199,0.000598659,-0.00120697,0.000442114,-0.00145035,0.000557817,-0.00489231,0.00254635,0.00397672,-0.000728133,0.00167252,0.00103681,0.000252281,-0.00197555,-0.00134529,-0.000838503,0.000304434,0.00114394,-7.53584e-05,-0.00306099,-0.000551484,-0.000489084,-0.00150775,-0.000179237,-0.0013427,-0.000891694,-0.0031651
6.09709,0.00324843,0.00477865,0.00121095,0.00192062,-0.00158872,-0.0014291,0.000958306,0.000878425,-0.00210059,0.0019804,0.00254773,0.00118854,-0.00017856,-0.000726757,-0.00224851,-0.00125344,-0.00037439,-0.000562749,0.000876932,-0.0028574,-2.43426e-05,-0.00122681,-0.00268535,-0.00159852,-0.000685339,0.000364535,-0.00251664,0.00250299,-0.00111979,-0.000316589,0.000388902,-4.00794e-05,-0.00110014,-0.000337516,0.00306206,-0.000348085,0.00181507,-0.00284009,-0.00141376,-7.91144e-05,0.00140317,-0.000686443,0.00383784,-0.00250543,-0.000568705,0.00530904,-0.00162139,0.00139309,-0.00155479,0.000420345,-0.00113011,0.00196435,0.00224548,0.00187394,0.00153864,-0.00196371,0.00013582,-0.00348518,0.00179841,-0.000873734,0.00245062,0.000190918,0.000341424,6.511e-05,-0.00235913,0.00133016,0.000816459,-0.00133996,-0.000230071,0.00230263,-0.000938214,-0.0035427,0.00240691,0.000666635,0.00306059,0.00255197,-0.00119168,-0.00082749,-0.00134097,0.0022419,-0.0012969,0.00112589,0.000691733,-0.0015551,0.00203356,-0.000639251,-0.0010807,-0.00222333,0.00162705,0.000576665,-0.00244957,0.00367492,0.00258172,0.00650784,0.00482172,-0.00188239,0.000276212,0.0011366,0.00100144,0.00460865
6.06305,0.00387124,-0.00364396,0.00535949,0.00166477,0.00475795,-0.00190865,-0.000316326,0.00251624,0.000479636,-0.00100319,-0.00300684,-0.000683253,-0.00261203,-0.00229837,0.00181836,-0.000198675,0.000188979,-0.000199701,0.00225932,-0.000911975,0.00238957,0.00326285,-0.000954517,0.00416536,0.000963759,0.00279554,0.00346957,-0.000519104,-0.00106788,0.00224274,0.00302912,0.000434879,-0.000808925,0.000142642,-9.54447e-05,-0.000810621,0.00173347,-0.00112842,-0.000527792,0.00165052,-0.000521762,-0.00232977,0.000464418,0.00205526,-0.00284599,-0.00119743,0.00190767,-0.000994799,-0.000121477,0.000902213,-0.000371931,-0.000577524,0.000199795,0.000211652,-0.00041406,-0.00272949,-0.00219306,0.000826024,-0.0019883,0.000921715,-0.00317804,-0.00122542,-0.0013126,0.00101821,-0.000164484,0.00289312,-0.0010981,0.000424496,-0.000250577,0.00241397,0.000271001,0.0015588,-0.00229293,0.0019918,-0.000771099,0.00144894,-0.000222933,-0.00115552,0.00163033,0.00235274,0.000986265,-0.00161329,-0.00400426,-0.00135386,0.0002979,0.00123672,-0.00204779,-0.000453986,-0.000488198,-0.0027192,0.000860622,0.00128753,0.00177399,-0.000147146,0.00316996,0.000775865,-0.000329199,-0.00114334,-0.000618131,-0.000205476
6.029,0.000669605,-0.00513599,0.000339468,0.00186206,0.00216621,0.00146788,0.000461285,0.0051023,0.00214601,0.000237667,-0.00041126,-0.000651198,-0.00128612,0.00016394,-0.000631203,-0.000989724,0.00234743,-0.000414443,0.00207899,0.00262411,-0.00119159,0.00141949,0.00145791,-0.00439717,-0.000581505,0.000576453,-0.000324522,-0.000638311,-0.00237961,-0.00108417,0.00258035,0.000252651,-0.00118393,-0.000199291,-0.00536318,0.000524736,0.000454241,-0.00283769,0.00465189,0.00125485,-0.00103573,0.000448593,0.00133151,0.00188594,0.000269088,-0.00102031,-0.000900395,0.00131215,0.000449117,-0.00491803,0.000179895,-0.000538039,-0.00132121,-0.00256102,0.00270369,-0.00293947,-0.000163519,-0.000450602,0.00271476,0.0014182,0.001298,0.0010247,-0.00599799,-0.000522855,-0.00246279,-0.00264097,0.00182964,-0.00163151,-0.00217261,0.000553923,0.000947343,-0.000655536,0.00194869,0.00247752,0.000927735,-0.000410452,-0.00258473,0.000912041,0.000695791,0.00148176,0.00292594,-0.000800542,-0.00536823,-0.00032904,0.00186476,-0.00410088,0.00186264,-0.000438612,0.00162018,0.000625287,-0.0012252,0.00350551,-0.000352391,0.000892377,-0.00016163,-0.00279472,0.00385408,-0.00331994,0.00327973,-0.000579313
5.99496,-0.00270612,0.00225886,-0.00121374,0.00118809,0.00179395,0.00117549,0.00047685,0.000260656,-0.000401808,-0.00297825,-0.00497786,0.00097167,0.000792712,0.000470741,0.000796752,0.00061983,0.000608924,0.00182182,-0.000810875,0.00100435,0.000317476,0.000121272,0.00045608,-0.0026905,0.0015223,0.00134484,-0.00317346,0.00174597,0.00110885,7.91354e-05,0.00126219,0.00332558,0.00186782,-0.00294482,0.000604865,-5.66313e-05,0.00101125,-0.00110998,0.0023948,0.00134723,-0.000406568,-0.00187939,-0.000987936,-0.000961037,0.00122493,0.00188604,0.00183646,0.0021797,-0.00288367,0.000489802,0.00203585,0.00274161,0.000102979,-0.00196357,-0.00163912,-0.00358256,0.00223251,0.00069259,-0.00286793,0.0022646,0.00375076,-0.00124974,0.00199272,0.00364216,-0.00122305,-0.00333784,0.00312206,-0.000214242,-0.00411667,0.00166864,-0.000231761,0.0030865,0.00230324,0.00118643,-0.00264174,0.000650227,0.0014501,-0.000507622,0.000893618,-0.000914966,-0.00219447,-0.000693574,-0.000307164,0.000807811,-0.0004884,0.00215626,1.63837e-05,0.00133835,-0.000549848,0.000247022,0.000119571,-0.0013835,-0.00360919,0.00106919,0.00119693,-0.000193944,0.00221021,-0.000663168,0.00123001,0.00230726
5.96092,0.000544964,0.000682291,-0.00109846,0.00257152,9.75388e-05,0.00260227,0.00117949,-0.00166196,0.000835505,0.00120572,-0.00248341,-0.00106973,-0.00300671,-0.00149669,0.00162566,-0.00181978,0.00215903,-0.00178966,0.00306813,-0.000924207,-0.00345511,-0.000601066,0.00113426,-0.000971194,-0.00173799,0.000858185,-8.5274e-06,0.00100828,0.00100452,0.00139194,-0.000438746,-0.00142894,0.00260269,0.00207586,-0.000328709,0.00155632,0.00234881,0.000167167,-0.00267713,0.000720268,-0.00139569,0.00161567,-0.00300346,0.00113711,-0.00271548,0.000529951,0.000143722,0.000894698,0.00151159,-0.000104578,-0.00119957,0.000823792,-0.000196393,-8.08725e-05,0.0018783,-4.22727e-05,-4.15625e-06,-0.00162523,0.00200108,0.00272248,0.00121062,0.000275403,-0.000451863,0.0032712,-0.00153275,-0.00226182,0.00015784,-0.00063127,0.00144688,0.00177838,-0.00195347,0.000752749,0.0026637,-0.000927192,-0.000866756,-0.00419094,-0.00025989,0.00258492,-0.00152716,-0.00233738,0.00104403,0.00101534,-0.00142139,-0.000559683,-0.00172102,-0.00369233,0.00249226,-0.000434225,-0.000174179,0.00105827,-0.00185398,0.000342344,0.00468403,0.00255604,0.00167079,-0.00265603,-0.000272167,0.00412547,-0.0026209,0.00236689
5.92688,-0.00106808,0.00249534,-0.00296381,-0.000907024,0.000317859,0.0022665,0.00166371,0.000573812,0.000248447,-0.00379496,0.00103741,-0.00273769,0.000923769,-0.00184912,-0.00170856,0.000679222,0.000417443,0.00108075,-0.00285046,0.00177993,-6.03473e-05,-0.000450918,-0.000813323,-0.00225106,-0.00132163,0.00304278,0.000211422,0.00248414,0.00217569,-0.000655492,0.00207052,0.000824891,-0.000248667,0.00148185,-0.00125787,-0.00241077,-8.49439e-05,0.000801062,0.00325338,-0.00268946,0.00212309,-0.00274259,0.000543312,0.000777698,-0.00103055,-0.00130253,-0.00187719,-0.000235829,0.00290277,0.00288019,0.00337889,0.000176428,0.00173324,-0.00245413,0.000244555,0.00135776,-0.00284132,0.00176147,0.00220921,0.000336352,0.000651003,0.00311085,-0.000935217,0.00387425,-0.000222966,-6.87114e-05,-0.00210698,0.000502294,-0.00073213,0.000391619,-0.00281262,-0.0013881,0.000749784,0.000728463,0.00181247,0.0013799,-0.000462971,0.000691182,-0.00208504,-0.000640018,4.56689e-05,-0.00182156,-0.000277629,-0.000414704,-0.000991193,-0.00125943,0.00153079,0.00148822,-0.000964626,-9.76651e-05,0.0046623,-0.00179676,0.000124218,-0.00414141,-6.97899e-05,-0.000427966,0.00292614,0.00220777,0.000259194,0.0035631
5.89284,0.00125367,-0.00149228,-0.00280056,0.000666396,-0.000413638,0.00152539,-0.000741363,-0.00428885,0.00121091,0.00163866,-0.00245875,-0.00158761,-0.000277196,0.00451378,-0.00232506,-1.59752e-05,-0.000326995,0.00126298,-0.00568147,-0.000649481,0.00393321,0.0025799,0.00232929,-0.00568367,-0.000476365,0.000341475,0.00265126,-0.00117751,0.00187678,-0.00189612,-0.00195107,0.00116472,-0.00386264,-0.00151207,-0.00104854,-0.00268591,-0.00161837,0.00104349,-0.00105051,-0.00168895,0.00154246,-0.000603232,-0.00134476,0.000195247,-3.85151e-05,0.0013135,-0.00255945,-0.000270394,-0.000593485,-0.00153483,-0.00245074,0.000345003,0.000196703,-0.00427973,-0.000282197,0.00168902,0.00300181,0.00036262,0.002132,-0.000375655,-0.00377794,0.00144119,-0.00267112,9.15155e-05,-0.00468394,0.00185213,-0.000216967,-0.00026573,-0.00219621,-0.000431142,0.00509484,-0.00470696,-0.00124116,0.000974486,-0.00175605,0.000669339,0.00179833,-0.00181421,0.00567105,0.00300624,-0.00315836,0.00132862,0.00039227,-0.00128942,0.00114273,-0.000810762,-0.00210987,0.00374538,-0.00229019,-0.00385296,0.00199539,0.0027722,0.00196925,0.000629172,-0.00179316,0.000894563,0.00216344,-0.00167061,-0.00102657,0.00287168
