Energy(eV) / Compound number,1,2,3,4,5
6.199209,6.015743e-94,3.759839e-94,4.282832e-10,3.007871e-94,4.323815e-94
6.165168,2.113482e-92,1.320926e-92,9.776547e-10,1.056741e-92,1.519065e-92
6.131127,7.213177e-91,4.508236e-91,2.203171e-09,3.606589e-91,5.184471e-91
6.097086,2.391517e-89,1.494698e-89,4.901391e-09,1.195758e-89,1.718903e-89
6.063046,7.702628e-88,4.814143e-88,1.076462e-08,3.851314e-88,5.536264e-88
6.029005,2.410034e-86,1.506271e-86,2.333923e-08,1.205017e-86,1.732212e-86
5.994964,7.325313e-85,4.578321e-85,4.995542e-08,3.662657e-85,5.265069e-85
5.960923,2.162957e-83,1.351848e-83,1.05557e-07,1.081479e-83,1.554626e-83
5.926882,6.204238e-82,3.877649e-82,2.201911e-07,3.102119e-82,4.459296e-82
5.892842,1.728812e-80,1.080507e-80,4.53441e-07,8.644058e-81,1.242583e-80
5.858801,4.679782e-79,2.924864e-79,9.218287e-07,2.339891e-79,3.363594e-79
5.82476,1.230615e-77,7.691347e-78,1.850069e-06,6.153077e-78,8.845049e-78
5.790719,3.143676e-76,1.964798e-76,3.665507e-06,1.571838e-76,2.259517e-76
5.756678,7.80139e-75,4.875869e-75,7.169492e-06,3.900695e-75,5.607249e-75
5.722638,1.880723e-73,1.175452e-73,1.384367e-05,9.403617e-74,1.35177e-73
5.688597,4.4045e-72,2.752813e-72,2.638895e-05,2.20225e-72,3.165735e-72
5.654556,1.002045e-70,6.262778e-71,4.965941e-05,5.010223e-71,7.202197e-71
5.620515,2.214605e-69,1.384128e-69,9.225485e-05,1.107302e-69,1.591749e-69
5.586474,4.75471e-68,2.971694e-68,0.0001691941,2.377355e-68,3.41746e-68
5.552433,9.916781e-67,6.197988e-67,0.0003063301,4.95839e-67,7.127763e-67
5.518393,2.00926e-65,1.255787e-65,0.0005475229,1.00463e-65,1.444204e-65
5.484352,3.954761e-64,2.471725e-64,0.0009661028,1.97738e-64,2.842771e-64
5.450311,7.561763e-63,4.726102e-63,0.001682878,3.780881e-63,5.436639e-63
5.41627,1.404574e-61,8.778588e-62,0.002893946,7.022871e-62,1.010409e-61
5.382229,2.534457e-60,1.584036e-60,0.004912882,1.267229e-60,1.826088e-60
5.348189,4.44267e-59,2.776669e-59,0.008233618,2.221335e-59,3.214725e-59
5.314148,7.565226e-58,4.728266e-58,0.01362239,3.782613e-58,5.536747e-58
5.280107,1.251464e-56,7.821652e-57,0.02224971,6.257321e-57,9.428849e-57
5.246066,2.0111e-55,1.256938e-55,0.03587597,1.00555e-55,1.625707e-55
5.212025,3.139553e-54,1.96222e-54,0.05710726,1.569776e-54,2.967504e-54
5.177985,4.761245e-53,2.975778e-53,0.08974026,2.380623e-53,6.085869e-53
5.143944,7.014425e-52,4.384016e-52,0.1392168,3.507213e-52,1.452083e-51
5.109903,1.003881e-50,6.274258e-51,0.2132084,5.019406e-51,3.925513e-50
5.075862,1.395698e-49,8.72311e-50,0.3223482,6.978488e-50,1.128897e-48
5.041821,1.885034e-48,1.178146e-48,0.4811212,9.425168e-49,3.271818e-47
5.00778,2.473236e-47,1.545773e-47,0.7089117,1.236618e-47,9.260953e-46
4.97374,3.152324e-46,1.970202e-46,1.031189,1.576162e-46,2.521208e-44
4.939699,3.903146e-45,2.439466e-45,1.480786,1.951575e-45,6.555919e-43
4.905658,4.694804e-44,2.934252e-44,2.099206,2.347408e-44,1.623272e-41
4.871617,5.485786e-43,3.428617e-43,2.937825,2.742914e-43,3.821955e-40
4.837576,6.227003e-42,3.891877e-42,4.058871,3.113564e-42,8.551606e-39
4.803536,6.866541e-41,4.291588e-41,5.535958,3.433449e-41,1.817836e-37
4.769495,7.355559e-40,4.597224e-40,7.453989,3.678269e-40,3.6707e-36
4.735454,7.654416e-39,4.78401e-39,9.90816,3.828478e-39,7.040496e-35
4.701413,7.737973e-38,4.836233e-38,13.00186,3.872118e-38,1.282639e-33
4.667372,7.599082e-37,4.749426e-37,16.84327,3.806875e-37,2.219453e-32
4.633332,7.249595e-36,4.530997e-36,21.5405,3.641111e-36,3.647744e-31
4.599291,6.718698e-35,4.199186e-35,27.19527,3.393813e-35,5.69427e-30
4.56525,6.048883e-34,3.780552e-34,33.89528,3.093597e-34,8.442794e-29
4.531209,5.290346e-33,3.306466e-33,41.70551,2.776974e-33,1.188963e-27
4.497168,4.494813e-32,2.809258e-32,50.65893,2.485993e-32,1.590318e-26
4.463128,3.709864e-31,2.318665e-31,60.74729,2.265142e-31,2.02038e-25
4.429087,2.974562e-30,1.859101e-30,71.91279,2.157166e-30,2.437899e-24
4.395046,2.316898e-29,1.448061e-29,84.04148,2.197477e-29,2.794034e-23
4.361005,1.753111e-28,1.095694e-28,96.95932,2.407248e-28,3.041453e-22
4.326964,1.288637e-27,8.053983e-28,110.4317,2.786133e-27,3.144589e-21
4.292923,9.201756e-27,5.751098e-27,124.167,3.306572e-26,3.088019e-20
4.258883,6.383068e-26,3.989418e-26,137.8247,3.912253e-25,2.880244e-19
4.224842,4.301372e-25,2.688357e-25,151.0276,4.522942e-24,2.551596e-18
4.190801,2.815809e-24,1.759881e-24,163.3781,5.046366e-23,2.14698e-17
4.15676,1.790681e-23,1.119176e-23,174.4776,5.395327e-22,1.715842e-16
4.122719,1.106247e-22,6.914042e-23,183.9475,5.505908e-21,1.302447e-15
4.088679,6.639027e-22,4.149392e-22,191.4505,5.351472e-20,9.390225e-15
4.054638,3.870577e-21,2.41911e-21,196.7104,4.94804e-19,6.430212e-14
4.020597,2.192127e-20,1.370079e-20,199.5292,4.349313e-18,4.18223e-13
3.986556,1.206075e-19,7.537969e-20,199.7993,3.633066e-17,2.583592e-12
3.952515,6.44617e-19,4.028856e-19,197.5103,2.883353e-16,1.515909e-11
3.918475,3.34694e-18,2.091837e-18,192.7498,2.173902e-15,8.448035e-11
3.884434,1.688157e-17,1.055098e-17,185.6976,1.556926e-14,4.471689e-10
3.850393,8.271733e-17,5.169833e-17,176.6148,1.059162e-13,2.248127e-09
3.816352,3.937303e-16,2.460815e-16,165.8274,6.844017e-13,1.073503e-08
3.782311,1.820623e-15,1.137889e-15,153.7071,4.200559e-12,4.868769e-08
3.74827,8.178241e-15,5.111401e-15,140.65,2.448757e-11,2.097337e-07
3.71423,3.56877e-14,2.230481e-14,127.0556,1.355888e-10,8.581254e-07
3.680189,1.512851e-13,9.455313e-14,113.3069,7.130819e-10,3.334775e-06
3.646148,6.230075e-13,3.893785e-13,99.75324,3.56198e-09,1.23088e-05
3.612107,2.492364e-12,1.557711e-12,86.69741,1.68997e-08,4.315171e-05
3.578066,9.686267e-12,6.053693e-12,74.3864,7.615549e-08,0.0001436858
3.544026,3.657167e-11,2.285455e-11,63.00708,3.259553e-07,0.0004544256
3.509985,1.341606e-10,8.381925e-11,52.68578,1.325101e-06,0.001365039
3.475944,4.783285e-10,2.986301e-10,43.49165,5.116511e-06,0.003894582
3.441903,1.658741e-09,1.033575e-09,35.44269,1.876432e-05,0.01055383
3.407862,5.604887e-09,3.475117e-09,28.51384,6.536201e-05,0.02716391
3.373822,1.852801e-08,1.135051e-08,22.64609,0.0002162479,0.06640609
3.339781,6.040662e-08,3.601473e-08,17.75575,0.0006795351,0.1541902
3.30574,1.970795e-07,1.110104e-07,13.74336,0.002028177,0.3400472
3.271699,6.574328e-07,3.324038e-07,10.5016,0.005749544,0.7122867
3.237658,2.29477e-06,9.669119e-07,7.921842,0.01548085,1.417111
3.203617,8.47914e-06,2.732289e-06,5.899368,0.03959045,2.67785
3.169577,3.282009e-05,7.500412e-06,4.337041,0.09616566,4.806202
3.135536,0.00012937,2.000149e-05,3.14769,0.2218626,8.193157
3.101495,0.0005030625,5.181533e-05,2.255305,0.4861642,13.26582
3.067454,0.001881509,0.0001303986,1.595331,1.011852,20.40097
3.033413,0.00665567,0.0003187912,1.114261,2.000265,29.79901
2.999373,0.02204278,0.0007571092,0.7687955,3.755738,41.34164
2.965332,0.06794634,0.001746745,0.5247775,6.697956,54.47661
2.931291,0.1942747,0.003914886,0.356114,11.3457,68.18227
2.89725,0.5142405,0.008523687,0.2438854,18.25437,81.05454
2.863209,1.258705,0.01802829,0.175861,27.89687,91.52476
2.829169,2.84712,0.03704252,0.1466753,40.49566,98.16968
2.795128,5.949208,0.07393755,0.1589831,55.83979,100.0323
2.761087,11.48203,0.1433667,0.2259764,73.14613,96.85591
2.727046,20.46874,0.2700539,0.3756957,91.03353,89.15594
2.693005,33.70974,0.4941643,0.6575314,107.6614,78.10669
2.658965,51.308,0.8784376,1.151131,121.0368,65.28372
2.624924,72.22607,1.516943,1.977508,129.4313,52.348
2.590883,94.15147,2.544757,3.311422,131.7959,40.76747
2.556842,113.9004,4.147077,5.393088,128.0466,31.64595
2.522801,128.3577,6.565331,8.536017,119.1269,25.68132
2.48876,135.6299,10.09694,13.12664,106.8236,23.22886
2.45472,135.8898,15.08488,19.61069,93.39699,24.41768
