Wavenumber (cm-1) / Compound number,1,2,3,4,5
50,3.526825e-70,0,7.44006e-277,0,1.918556e-135
50.84746,7.347034e-69,0,5.574171e-275,0,6.488856e-134
51.69492,1.487182e-67,0,4.115464e-273,0,2.151285e-132
52.54237,2.925095e-66,0,2.994277e-271,0,6.991391e-131
53.38983,5.590358e-65,0,2.14684e-269,0,2.227232e-129
54.23729,1.038157e-63,0,1.516848e-267,0,6.955096e-128
55.08475,1.873314e-62,0,1.056134e-265,0,2.129006e-126
55.9322,3.284596e-61,0,7.246541e-264,0,6.388321e-125
56.77966,5.595992e-60,0,4.899785e-262,0,1.879025e-123
57.62712,9.263949e-59,0,3.26481e-260,0,5.417692e-122
58.47458,1.490181e-57,0,2.143746e-258,0,1.531201e-120
59.32203,2.329194e-56,0,1.38715e-256,0,4.24215e-119
60.16949,3.537499e-55,0,8.845212e-255,0,1.152062e-117
61.01695,5.220484e-54,0,5.558116e-253,0,3.066915e-116
61.86441,7.485987e-53,0,3.441768e-251,0,8.0032e-115
62.71186,1.043065e-51,0,2.100246e-249,0,2.047206e-113
63.55932,1.412203e-50,0,1.262971e-247,0,5.133286e-112
64.40678,1.857835e-49,0,7.484301e-246,0,1.261727e-110
65.25424,2.374876e-48,0,4.370627e-244,0,3.039984e-109
66.10169,2.94984e-47,0,2.51519e-242,0,7.179815e-108
66.94915,3.560246e-46,0,1.426371e-240,0,1.662231e-106
67.79661,4.175277e-45,0,7.971294e-239,0,3.772291e-105
68.64407,4.757891e-44,0,4.389952e-237,0,8.391802e-104
69.49153,5.268263e-43,0,2.382459e-235,0,1.829958e-102
70.33898,5.66819e-42,0,1.274165e-233,0,3.911679e-101
71.18644,5.925775e-41,0,6.715222e-232,0,8.196365e-100
72.0339,6.019629e-40,0,3.487625e-230,0,1.683508e-98
72.88136,5.941802e-39,0,1.784982e-228,0,3.389576e-97
73.72881,5.698893e-38,0,9.002696e-227,0,6.689774e-96
74.57627,5.311127e-37,0,4.474514e-225,0,1.294236e-94
75.42373,4.809576e-36,0,2.191562e-223,0,2.454435e-93
76.27119,4.232049e-35,0,1.057782e-221,0,4.56274e-92
77.11864,3.618416e-34,0,5.031223e-220,0,8.314494e-91
77.9661,3.006146e-33,0,2.358226e-218,0,1.48519e-89
78.81356,2.426753e-32,0,1.08926e-216,0,2.600543e-88
79.66102,1.903553e-31,0,4.958072e-215,0,4.463569e-87
80.50847,1.450869e-30,0,2.223968e-213,0,7.50994e-86
81.35593,1.074522e-29,0,9.830571e-212,0,1.238587e-84
