Energy (eV),Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5,Spectra 6
6.199208877,1.66E-29,6.58E-94,1.52E-59,2.20E-15,4.29E-46,2.18E-59
6.193566963,2.01E-29,1.19E-93,2.22E-59,2.68E-15,5.99E-46,3.18E-59
6.187925049,2.44E-29,2.15E-93,3.25E-59,3.27E-15,8.36E-46,4.64E-59
6.182283134,2.96E-29,3.88E-93,4.74E-59,3.98E-15,1.17E-45,6.77E-59
6.17664122,3.59E-29,6.99E-93,6.91E-59,4.85E-15,1.62E-45,9.87E-59
6.170999306,4.35E-29,1.26E-92,1.01E-58,5.90E-15,2.26E-45,1.44E-58
6.165357392,5.27E-29,2.27E-92,1.47E-58,7.17E-15,3.15E-45,2.10E-58
6.159715478,6.38E-29,4.08E-92,2.14E-58,8.72E-15,4.39E-45,3.05E-58
6.154073563,7.73E-29,7.33E-92,3.11E-58,1.06E-14,6.10E-45,4.44E-58
6.148431649,9.36E-29,1.32E-91,4.52E-58,1.29E-14,8.49E-45,6.46E-58
6.142789735,1.13E-28,2.36E-91,6.57E-58,1.56E-14,1.18E-44,9.39E-58
6.137147821,1.37E-28,4.23E-91,9.55E-58,1.89E-14,1.64E-44,1.36E-57
6.131505906,1.66E-28,7.59E-91,1.39E-57,2.30E-14,2.27E-44,1.98E-57
6.125863992,2.00E-28,1.36E-90,2.01E-57,2.78E-14,3.16E-44,2.88E-57
6.120222078,2.42E-28,2.43E-90,2.92E-57,3.37E-14,4.38E-44,4.17E-57
6.114580164,2.93E-28,4.34E-90,4.24E-57,4.08E-14,6.07E-44,6.05E-57
6.10893825,3.54E-28,7.76E-90,6.14E-57,4.94E-14,8.41E-44,8.77E-57
6.103296335,4.28E-28,1.38E-89,8.90E-57,5.97E-14,1.16E-43,1.27E-56
6.097654421,5.17E-28,2.47E-89,1.29E-56,7.22E-14,1.61E-43,1.84E-56
6.092012507,6.24E-28,4.40E-89,1.86E-56,8.72E-14,2.23E-43,2.66E-56
6.086370593,7.53E-28,7.83E-89,2.70E-56,1.05E-13,3.08E-43,3.85E-56
6.080728679,9.09E-28,1.39E-88,3.90E-56,1.27E-13,4.26E-43,5.57E-56
6.075086764,1.10E-27,2.48E-88,5.63E-56,1.53E-13,5.88E-43,8.05E-56
6.06944485,1.32E-27,4.40E-88,8.14E-56,1.85E-13,8.12E-43,1.16E-55
6.063802936,1.60E-27,7.80E-88,1.17E-55,2.23E-13,1.12E-42,1.68E-55
6.058161022,1.92E-27,1.38E-87,1.69E-55,2.68E-13,1.55E-42,2.42E-55
6.052519107,2.32E-27,2.45E-87,2.44E-55,3.23E-13,2.13E-42,3.49E-55
6.046877193,2.79E-27,4.34E-87,3.52E-55,3.89E-13,2.93E-42,5.03E-55
6.041235279,3.37E-27,7.68E-87,5.07E-55,4.67E-13,4.04E-42,7.25E-55
6.035593365,4.06E-27,1.36E-86,7.31E-55,5.62E-13,5.56E-42,1.04E-54
6.029951451,4.88E-27,2.40E-86,1.05E-54,6.75E-13,7.65E-42,1.50E-54
6.024309536,5.88E-27,4.23E-86,1.51E-54,8.11E-13,1.05E-41,2.16E-54
6.018667622,7.07E-27,7.46E-86,2.17E-54,9.73E-13,1.45E-41,3.11E-54
6.013025708,8.51E-27,1.31E-85,3.12E-54,1.17E-12,1.99E-41,4.46E-54
6.007383794,1.02E-26,2.31E-85,4.49E-54,1.40E-12,2.73E-41,6.41E-54
6.00174188,1.23E-26,4.07E-85,6.44E-54,1.68E-12,3.74E-41,9.20E-54
5.996099965,1.48E-26,7.15E-85,9.24E-54,2.01E-12,5.13E-41,1.32E-53
5.990458051,1.78E-26,1.26E-84,1.33E-53,2.40E-12,7.03E-41,1.89E-53
5.984816137,2.14E-26,2.20E-84,1.90E-53,2.88E-12,9.63E-41,2.71E-53
5.979174223,2.57E-26,3.87E-84,2.72E-53,3.44E-12,1.32E-40,3.89E-53
5.973532309,3.08E-26,6.77E-84,3.90E-53,4.11E-12,1.81E-40,5.57E-53
5.967890394,3.70E-26,1.19E-83,5.58E-53,4.91E-12,2.47E-40,7.97E-53
5.96224848,4.44E-26,2.07E-83,7.98E-53,5.87E-12,3.38E-40,1.14E-52
5.956606566,5.33E-26,3.63E-83,1.14E-52,7.00E-12,4.61E-40,1.63E-52
5.950964652,6.40E-26,6.33E-83,1.63E-52,8.35E-12,6.30E-40,2.33E-52
5.945322737,7.68E-26,1.11E-82,2.33E-52,9.96E-12,8.60E-40,3.32E-52
5.939680823,9.20E-26,1.93E-82,3.32E-52,1.19E-11,1.17E-39,4.75E-52
5.934038909,1.10E-25,3.36E-82,4.74E-52,1.41E-11,1.60E-39,6.77E-52
5.928396995,1.32E-25,5.85E-82,6.76E-52,1.68E-11,2.18E-39,9.65E-52
5.922755081,1.58E-25,1.02E-81,9.63E-52,2.00E-11,2.97E-39,1.38E-51
5.917113166,1.90E-25,1.77E-81,1.37E-51,2.38E-11,4.05E-39,1.96E-51
5.911471252,2.27E-25,3.07E-81,1.95E-51,2.83E-11,5.51E-39,2.79E-51
5.905829338,2.72E-25,5.33E-81,2.78E-51,3.36E-11,7.49E-39,3.97E-51
5.900187424,3.26E-25,9.24E-81,3.95E-51,3.99E-11,1.02E-38,5.65E-51
5.89454551,3.90E-25,1.60E-80,5.62E-51,4.74E-11,1.38E-38,8.03E-51
5.888903595,4.66E-25,2.77E-80,7.99E-51,5.62E-11,1.88E-38,1.14E-50
5.883261681,5.58E-25,4.80E-80,1.13E-50,6.66E-11,2.55E-38,1.62E-50
5.877619767,6.67E-25,8.29E-80,1.61E-50,7.90E-11,3.46E-38,2.30E-50
5.871977853,7.97E-25,1.43E-79,2.28E-50,9.35E-11,4.70E-38,3.26E-50
5.866335938,9.52E-25,2.47E-79,3.24E-50,1.11E-10,6.37E-38,4.63E-50
5.860694024,1.14E-24,4.26E-79,4.59E-50,1.31E-10,8.63E-38,6.56E-50
5.85505211,1.36E-24,7.35E-79,6.51E-50,1.55E-10,1.17E-37,9.29E-50
5.849410196,1.62E-24,1.27E-78,9.21E-50,1.83E-10,1.58E-37,1.32E-49
5.843768282,1.94E-24,2.18E-78,1.30E-49,2.16E-10,2.14E-37,1.86E-49
5.838126367,2.31E-24,3.74E-78,1.84E-49,2.55E-10,2.89E-37,2.63E-49
5.832484453,2.76E-24,6.43E-78,2.61E-49,3.01E-10,3.91E-37,3.72E-49
5.826842539,3.29E-24,1.10E-77,3.68E-49,3.56E-10,5.28E-37,5.26E-49
5.821200625,3.93E-24,1.89E-77,5.20E-49,4.19E-10,7.12E-37,7.43E-49
5.815558711,4.68E-24,3.24E-77,7.34E-49,4.94E-10,9.61E-37,1.05E-48
5.809916796,5.58E-24,5.55E-77,1.04E-48,5.82E-10,1.30E-36,1.48E-48
5.804274882,6.65E-24,9.49E-77,1.46E-48,6.85E-10,1.75E-36,2.09E-48
5.798632968,7.92E-24,1.62E-76,2.06E-48,8.06E-10,2.35E-36,2.94E-48
5.792991054,9.43E-24,2.77E-76,2.90E-48,9.48E-10,3.17E-36,4.14E-48
5.787349139,1.12E-23,4.73E-76,4.08E-48,1.11E-09,4.26E-36,5.83E-48
5.781707225,1.34E-23,8.07E-76,5.75E-48,1.31E-09,5.74E-36,8.21E-48
5.776065311,1.59E-23,1.37E-75,8.08E-48,1.54E-09,7.71E-36,1.15E-47
5.770423397,1.89E-23,2.34E-75,1.14E-47,1.80E-09,1.04E-35,1.62E-47
5.764781483,2.25E-23,3.98E-75,1.60E-47,2.12E-09,1.39E-35,2.28E-47
5.759139568,2.68E-23,6.77E-75,2.24E-47,2.48E-09,1.87E-35,3.20E-47
5.753497654,3.18E-23,1.15E-74,3.15E-47,2.91E-09,2.51E-35,4.50E-47
5.74785574,3.78E-23,1.95E-74,4.41E-47,3.40E-09,3.36E-35,6.31E-47
5.742213826,4.50E-23,3.31E-74,6.19E-47,3.98E-09,4.51E-35,8.84E-47
5.736571912,5.34E-23,5.61E-74,8.68E-47,4.66E-09,6.04E-35,1.24E-46
5.730929997,6.34E-23,9.50E-74,1.22E-46,5.45E-09,8.08E-35,1.74E-46
5.725288083,7.53E-23,1.61E-73,1.70E-46,6.37E-09,1.08E-34,2.43E-46
5.719646169,8.94E-23,2.72E-73,2.38E-46,7.44E-09,1.45E-34,3.40E-46
5.714004255,1.06E-22,4.59E-73,3.33E-46,8.69E-09,1.93E-34,4.76E-46
5.708362341,1.26E-22,7.75E-73,4.66E-46,1.01E-08,2.59E-34,6.65E-46
5.702720426,1.49E-22,1.31E-72,6.51E-46,1.18E-08,3.45E-34,9.29E-46
5.697078512,1.77E-22,2.20E-72,9.08E-46,1.38E-08,4.61E-34,1.30E-45
5.691436598,2.10E-22,3.71E-72,1.27E-45,1.61E-08,6.15E-34,1.81E-45
5.685794684,2.49E-22,6.24E-72,1.77E-45,1.87E-08,8.20E-34,2.53E-45
5.680152769,2.95E-22,1.05E-71,2.47E-45,2.18E-08,1.09E-33,3.52E-45
5.674510855,3.49E-22,1.76E-71,3.44E-45,2.54E-08,1.46E-33,4.91E-45
5.668868941,4.13E-22,2.96E-71,4.79E-45,2.95E-08,1.94E-33,6.84E-45
5.663227027,4.90E-22,4.96E-71,6.67E-45,3.43E-08,2.58E-33,9.53E-45
5.657585113,5.79E-22,8.31E-71,9.28E-45,3.98E-08,3.43E-33,1.33E-44
5.651943198,6.86E-22,1.39E-70,1.29E-44,4.62E-08,4.56E-33,1.84E-44
5.646301284,8.11E-22,2.33E-70,1.79E-44,5.36E-08,6.06E-33,2.56E-44
5.64065937,9.59E-22,3.89E-70,2.49E-44,6.22E-08,8.05E-33,3.56E-44
5.635017456,1.13E-21,6.50E-70,3.46E-44,7.21E-08,1.07E-32,4.95E-44
5.629375542,1.34E-21,1.09E-69,4.80E-44,8.36E-08,1.42E-32,6.86E-44
5.623733627,1.58E-21,1.81E-69,6.67E-44,9.68E-08,1.88E-32,9.52E-44
5.618091713,1.87E-21,3.02E-69,9.24E-44,1.12E-07,2.49E-32,1.32E-43
5.612449799,2.21E-21,5.02E-69,1.28E-43,1.30E-07,3.30E-32,1.83E-43
5.606807885,2.61E-21,8.36E-69,1.77E-43,1.50E-07,4.37E-32,2.53E-43
5.60116597,3.08E-21,1.39E-68,2.46E-43,1.73E-07,5.79E-32,3.51E-43
5.595524056,3.64E-21,2.31E-68,3.40E-43,2.00E-07,7.65E-32,4.86E-43
5.589882142,4.29E-21,3.83E-68,4.70E-43,2.31E-07,1.01E-31,6.72E-43
5.584240228,5.06E-21,6.35E-68,6.50E-43,2.67E-07,1.34E-31,9.28E-43
5.578598314,5.97E-21,1.05E-67,8.98E-43,3.08E-07,1.77E-31,1.28E-42
5.572956399,7.04E-21,1.74E-67,1.24E-42,3.55E-07,2.33E-31,1.77E-42
5.567314485,8.30E-21,2.88E-67,1.71E-42,4.09E-07,3.08E-31,2.45E-42
5.561672571,9.78E-21,4.77E-67,2.36E-42,4.71E-07,4.06E-31,3.37E-42
5.556030657,1.15E-20,7.88E-67,3.26E-42,5.42E-07,5.35E-31,4.65E-42
5.550388743,1.36E-20,1.30E-66,4.49E-42,6.23E-07,7.04E-31,6.41E-42
5.544746828,1.60E-20,2.15E-66,6.18E-42,7.17E-07,9.27E-31,8.83E-42
5.539104914,1.88E-20,3.54E-66,8.51E-42,8.24E-07,1.22E-30,1.22E-41
5.533463,2.21E-20,5.82E-66,1.17E-41,9.47E-07,1.60E-30,1.67E-41
5.527821086,2.61E-20,9.58E-66,1.61E-41,1.09E-06,2.11E-30,2.30E-41
5.522179172,3.06E-20,1.57E-65,2.21E-41,1.25E-06,2.77E-30,3.16E-41
5.516537257,3.60E-20,2.59E-65,3.04E-41,1.43E-06,3.64E-30,4.35E-41
5.510895343,4.24E-20,4.25E-65,4.18E-41,1.64E-06,4.78E-30,5.97E-41
5.505253429,4.98E-20,6.97E-65,5.73E-41,1.88E-06,6.27E-30,8.19E-41
5.499611515,5.85E-20,1.14E-64,7.87E-41,2.15E-06,8.22E-30,1.12E-40
5.4939696,6.87E-20,1.87E-64,1.08E-40,2.46E-06,1.08E-29,1.54E-40
5.488327686,8.07E-20,3.06E-64,1.48E-40,2.82E-06,1.41E-29,2.11E-40
5.482685772,9.48E-20,5.00E-64,2.02E-40,3.22E-06,1.85E-29,2.89E-40
5.477043858,1.11E-19,8.17E-64,2.77E-40,3.68E-06,2.42E-29,3.96E-40
5.471401944,1.31E-19,1.33E-63,3.79E-40,4.21E-06,3.16E-29,5.42E-40
5.465760029,1.53E-19,2.18E-63,5.19E-40,4.80E-06,4.14E-29,7.41E-40
5.460118115,1.80E-19,3.55E-63,7.09E-40,5.48E-06,5.40E-29,1.01E-39
5.454476201,2.11E-19,5.77E-63,9.69E-40,6.25E-06,7.06E-29,1.38E-39
5.448834287,2.47E-19,9.39E-63,1.32E-39,7.13E-06,9.21E-29,1.89E-39
5.443192373,2.89E-19,1.53E-62,1.81E-39,8.12E-06,1.20E-28,2.58E-39
5.437550458,3.39E-19,2.48E-62,2.46E-39,9.25E-06,1.57E-28,3.52E-39
5.431908544,3.97E-19,4.03E-62,3.36E-39,1.05E-05,2.04E-28,4.80E-39
