RamanShift (cm-1),Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5,Spectra 6
1299.898438,9.543182,34.090118,30.032837,49.077392,16.35913067,67.141571
1298.220703,12.522827,63.886535,21.090667,17.791168,5.930389333,46.283936
1296.542969,7.2171325,42.925995,28.435546,26.617554,8.872518,37.24643
1294.865234,27.9742125,44.312103,34.287475,47.353454,15.78448467,37.147949
1293.1875,12.9898985,12.943023,59.49884,18.948334,6.316111333,57.893433
1291.507812,30.0152585,44.105377,50.450744,8.417877,2.805959,71.187164
1289.828125,25.4543455,20.190979,22.05307,35.096741,11.69891367,59.175598
1288.148438,6.016754,27.532196,47.250457,14.152221,4.717407,50.14502
1286.46875,20.057281,31.89508,20.353942,31.892883,10.630961,41.118347
1284.789062,1.372955,58.564239,14.297729,43.676819,14.55893967,43.993408
1283.107422,22.842712,25.746154,27.580719,28.69165,9.563883333,40.919556
1281.427734,16.05838,9.294586,37.883667,37.497986,12.49932867,48.253052
1279.746094,24.139343,44.868469,49.668853,77.511352,25.83711733,55.583283
1278.064453,26.2731015,23.962158,19.828155,31.324341,10.441447,67.368073
1276.380859,32.8626095,44.661316,49.445587,32.696228,10.89874267,39.03653
1274.699219,6.030914,0,31.504364,23.670715,7.890238333,37.452271
1273.015625,0,16.240478,15.056427,54.742309,18.24743633,29.928894
1271.332031,18.4677425,30.989196,25.348388,75.407959,25.13598633,72.885803
1269.648438,6.499542,21.98291,0,47.083191,15.694397,63.873566
1267.964844,39.7972715,51.563415,26.620208,14.31897,4.77299,40.025604
1266.28125,8.5423885,45.523742,7.219268,78.005066,26.00168867,10.253479
1264.595703,21.0587155,3.887359,30.85849,55.631531,18.54384367,45.760315
1262.910156,6.875854,23.071411,24.816772,19.920868,6.640289333,29.346863
1261.224609,20.869659,24.455169,51.408111,42.049438,14.01647933,52.972565
1259.539062,44.492401,46.59085,30.535736,70.097534,23.36584467,52.870392
1257.853516,2.8965755,77.608856,31.910736,65.529175,21.84305833,26.09198
1256.166016,25.0311885,38.974273,37.731781,56.517822,18.839274,48.221039
1254.478516,41.9712825,47.759948,45.032165,43.066223,14.35540767,34.787598
1252.791016,32.245422,56.541717,33.068786,0,0,40.613556
1251.103516,29.18692,22.379211,72.954467,35.42987,11.80995667,39.033325
1249.416016,29.090515,47.446807,53.58551,51.599243,17.19974767,30.051819
1247.726562,11.2334895,45.862396,56.434021,33.720276,11.240092,72.876465
1246.039062,37.0362545,66.474548,80.005188,43.963989,14.654663,99.405121
1244.349609,22.1440425,60.448364,47.327758,49.764892,16.58829733,26.801392
1242.660156,34.621307,67.736511,66.451599,86.62384,28.87461333,53.328461
1240.96875,29.348022,52.840088,30.832794,62.837707,20.94590233,57.662384
1239.279297,49.2102965,32.036499,61.78363,81.936401,27.31213367,63.472809
1237.587891,53.543701,51.150787,48.361236,68.508362,22.83612067,41.196472
1235.896484,22.408508,86.512207,31.988006,66.908447,22.30281567,47.007874
1234.205078,40.7816465,45.030456,40.748046,65.309143,21.76971433,54.294159
1232.513672,45.852539,65.606323,34.727386,79.958923,26.65297433,74.87146
1230.822266,39.845123,68.451446,80.41687,122.66156,40.88718667,88.055634
1229.128906,38.2697445,94.918945,108.361877,87.091919,29.03063967,52.509766
1227.435547,41.861572,80.04245,90.51654,70.727905,23.57596833,55.359802
1225.742188,38.810577,99.116516,57.915161,75.032654,25.01088467,71.49112
1224.048828,29.1210935,78.343567,53.37323,66.055908,22.018636,58.104981
1222.355469,55.5777585,88.558471,10.46405,77.735596,25.91186533,63.902191
1220.660156,52.525604,69.271728,75.278869,61.387878,20.462626,102.143891
1218.966797,39.153076,82.433136,64.835693,58.318054,19.43935133,93.18335
1217.271484,25.0492855,89.691833,51.447479,81.785278,27.26175933,85.700928
1215.574219,57.378967,99.895141,83.772827,93.451111,31.15037033,69.378418
1213.878906,62.433563,83.569824,85.127441,69.746338,23.24877933,45.695221
1212.183594,49.807098,79.037536,77.63861,48.998413,16.33280433,64.746491
1210.486328,57.806854,70.088501,37.736755,103.37793,34.45931,32.237152
1208.789062,65.80307,84.704712,42.046783,116.501098,38.83369933,85.152588
1207.091797,56.1286315,84.591797,80.229797,97.22876,32.40958667,96.821137
1205.394531,48.66629,94.78247,47.716034,104.459656,34.81988533,105.540558
1203.695312,34.5849605,107.911865,63.798339,79.311889,26.43729633,90.710205
1201.998047,43.314758,110.736389,99.007568,123.325683,41.108561,87.656708
1200.298828,53.511627,94.437133,73.868652,95.242798,31.74759933,53.714081
1198.599609,40.9090575,111.969665,41.384704,106.879516,35.62650533,110.966583
1196.898438,76.832397,128.02417,45.687042,115.570434,38.523478,84.385346
1195.199219,53.9402465,80.861938,60.281372,88.977722,29.65924067,79.865784
1193.498047,51.6334835,91.037475,55.756164,57.987671,19.32922367,104.741669
1191.798828,63.2864375,99.739074,52.70288,103.416992,34.47233067,126.667877
1190.097656,50.6954345,109.905883,62.877136,135.605102,45.20170067,72.194885
1188.394531,59.4060055,80.413391,64.231323,136.936401,45.645467,82.368897
1186.693359,35.808563,96.453369,61.178039,113.304748,37.76824933,118.969208
1184.992188,62.13504,71.38089,62.531921,66.194824,22.06494133,99.767182
1183.289062,37.8134765,81.544799,80.036438,108.636596,36.21219867,86.444519
1181.585938,43.584259,91.704162,54.961975,105.570251,35.19008367,76.0625
1179.882812,72.825653,91.589477,48.977966,102.505249,34.16841633,87.691315
1178.177734,34.5835875,98.808593,67.941101,77.440307,25.81343567,69.979737
1176.474609,53.549011,72.296661,75.159851,135.972656,45.32421867,58.141693
1174.769531,40.984802,100.042175,77.97528,116.775696,38.925232,74.164978
1173.064453,55.542999,92.596679,51.462341,77.066284,25.68876133,60.865387
1171.359375,53.9747615,85.15448,57.213806,91.59613,30.53204333,65.157196
1169.654297,63.3956295,98.227356,77.619751,104.654419,34.88480633,78.237915
1167.947266,56.699432,90.787109,65.778137,92.805176,30.93505867,76.664643
1166.242188,60.2575375,61.382812,75.917724,116.108764,38.70292133,82.41449
1164.535156,40.3874815,102.271179,72.870117,91.084656,30.361552,64.735047
1162.828125,58.5859065,112.400879,66.894958,79.246155,26.415385,96.834168
1161.119141,62.141113,112.281433,62.386474,99.610046,33.20334867,98.185059
